Nombre;Descripcion;Precio_Euros;URL_Producto;URL_Imagen
"Vino Azul" Príncipe Verdejo Frizzante Reina de Castilla 75 cl;Elaborado por S.C. Bodega Reina de Castilla (La Seca - Valladolid) con uva 100% verdejo parcialmente fermentada de manera natural. Esta bebida azul de aromas afrutados y una agradable chispa de carbónico natural, presenta un perfecto equilibrio entre dulzor y acidez. Ideal para acompañar de manera diferente en cualquier momento del día. 7.0% Vol. Contiene...;6.25;https://tienda.productostipicosregionales.es/vino/1304-vino-azul-principe-verdejo-frizzante-reina-de-castilla-75-cl.html;https://tienda.productostipicosregionales.es/1678-home_default/vino-azul-principe-verdejo-frizzante-reina-de-castilla-75-cl.jpg
Aceite de Oliva Virgen Extra Arbequina en Rama Oro Líquido 1 l;Aceite de oliva virgen extra variedad Arbequina, de primera extracción en frío sin filtrar, procedente de la cosecha propia de COATO. Se presenta en una bonita aceitera con forma de gota registrada con el sello “Artesanía Región de Murcia” de 1 litro.;19.75;https://tienda.productostipicosregionales.es/aceite/824-aceite-de-oliva-virgen-extra-arbequina-en-rama-oro-liquido-1-l.html;https://tienda.productostipicosregionales.es/1063-home_default/aceite-de-oliva-virgen-extra-arbequina-en-rama-oro-liquido-1-l.jpg
Aceite de Oliva Virgen Extra Cornicabra en Rama Oro Líquido 1 l;Aceite de oliva virgen extra variedad Cornicabra, de primera extracción en frío sin filtrar, procedente de la cosecha propia de COATO. Se presenta en una bonita aceitera con forma de gota registrada con el sello “Artesanía Región de Murcia” de 1 litro.;19.75;https://tienda.productostipicosregionales.es/aceite/823-aceite-de-oliva-virgen-extra-cornicabra-en-rama-oro-liquido-1-l.html;https://tienda.productostipicosregionales.es/1062-home_default/aceite-de-oliva-virgen-extra-cornicabra-en-rama-oro-liquido-1-l.jpg
Aceite de Oliva Virgen Extra Hojiblanca en Rama Oro Líquido 1 l;Aceite de oliva virgen extra variedad Hojiblanca, de primera extracción en frío sin filtrar, procedente de la cosecha propia de COATO. Se presenta en una bonita aceitera con forma de gota registrada con el sello “Artesanía Región de Murcia” de 1 litro.;19.75;https://tienda.productostipicosregionales.es/aceite/1165-aceite-de-oliva-virgen-extra-hojiblanca-en-rama-oro-liquido-1-l.html;https://tienda.productostipicosregionales.es/1508-home_default/aceite-de-oliva-virgen-extra-hojiblanca-en-rama-oro-liquido-1-l.jpg
Aceituna Negra de Cuquillo Oro Molido 310 gr;Aceituna negra de cuquillo entera categoría Selecta. Se presenta en tarro de vidrio de 310 gr. Peso Neto Escurrido: 180 g.;1.75;https://tienda.productostipicosregionales.es/encurtidos/798-aceituna-negra-de-cuquillo-oro-molido-310-gr.html;https://tienda.productostipicosregionales.es/1037-home_default/aceituna-negra-de-cuquillo-oro-molido-310-gr.jpg
Aceituna Negra de Cuquillo Oro Molido 970 gr;Aceituna negra de cuquillo entera categoría Selecta. Se presenta en tarro de vidrio de 970 gr. Peso Neto Escurrido: 500 g.;3.75;https://tienda.productostipicosregionales.es/encurtidos/797-aceituna-negra-de-cuquillo-oro-molido-970-gr.html;https://tienda.productostipicosregionales.es/1036-home_default/aceituna-negra-de-cuquillo-oro-molido-970-gr.jpg
Aceituna Verde Partida Oro Molido 970 gr;Aceituna casera verde partida categoría Selecta. Se presenta en tarro de vidrio de 820 gr. Peso Neto Escurrido: 480g.;4.25;https://tienda.productostipicosregionales.es/encurtidos/796-aceituna-verde-partida-oro-molido-970-gr.html;https://tienda.productostipicosregionales.es/1035-home_default/aceituna-verde-partida-oro-molido-970-gr.jpg
Aguardiente Tostado Gulagalega 70 cl;Elaborado a partir de aguardiente blanco al que se le añade corteza de naranja, granos de café y azúcar caramelizado. 30% Vol. Se presenta en frasca de vidrio de 70 cl.;12.50;https://tienda.productostipicosregionales.es/destilados/1180-aguardiente-tostado-gulagalega-70-cl.html;https://tienda.productostipicosregionales.es/1520-home_default/aguardiente-tostado-gulagalega-70-cl.jpg
Aliño de Vinagre Balsámico con Cebolla S.A.T. El Artesano Raúl...;Elaborado por De lo Nuestro Artesano , S.L. en el Bierzo (Carracedelo – León). Producto de elaboración artesanal. Se presenta en botella de vidrio de 250 ml.;4.25;https://tienda.productostipicosregionales.es/vinagre/589-vinagre-balsamico-de-cebolla-sat-el-artesano-raul-valcarce-250-ml.html;https://tienda.productostipicosregionales.es/617-home_default/vinagre-balsamico-de-cebolla-sat-el-artesano-raul-valcarce-250-ml.jpg
Aliño de Vinagre Balsámico con Higo S.A.T. El Artesano Raúl...;Elaborado por De lo Nuestro Artesano , S.L. en el Bierzo (Carracedelo – León). Producto de elaboración artesanal. Se presenta en botella de vidrio de 250 ml.;4.25;https://tienda.productostipicosregionales.es/vinagre/590-alino-de-vinagre-balsamico-con-higo-sat-el-artesano-raul-valcarce-250-ml.html;https://tienda.productostipicosregionales.es/618-home_default/alino-de-vinagre-balsamico-con-higo-sat-el-artesano-raul-valcarce-250-ml.jpg
